PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-30 AY1,NO 25/11-G-30 AY,2017-12-16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16058.98,12780.890000000001,20823.23,9671.580000000002,11771.71,71106.39
NO 25/11-G-30 Y1,NO 25/11-G-30 Y,2007-03-20,2017-06-04,0.0,12751.0,177362.0,78638.0,12842.0,2477.6800000000003,1352.8600000000001,919.62,940.25,705.82,735.83,3.08,0.0,0.0,0.0,0.0,0.0,288728.14
NO 25/11-G-31 BY1T3,NO 25/11-G-31 BY,2016-09-28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68140.36,17522.819999999996,22580.940000000002,6521.919999999999,8416.35,3940.1800000000003,3156.2,130278.77
NO 25/11-G-34,NO 25/11-G-34,2005-07-30,2016-01-29,0.0,199252.0,39991.0,16257.0,7450.0,487.75999999999993,248.68999999999997,0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263686.73
NO 25/11-G-34 AY1,NO 25/11-G-34 AY,2019-02-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93966.87000000001,106826.03000000001,98176.12,298969.02
NO 25/11-G-35 AT2,NO 25/11-G-35 A,2006-05-01,2014-12-27,0.0,761934.0,448931.0,83640.0,12040.0,0.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306545.29
NO 25/11-G-35 BY1,NO 25/11-G-35 BY,2018-11-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118747.56,82940.73999999999,124676.64000000001,326364.94000000006
NO 25/11-G-38 AY1,NO 25/11-G-38 AY,2011-06-28,2020-02-09,0.0,0.0,0.0,1069.0,1302944.0,632547.4299999999,268995.28,134249.47,213454.06999999998,106938.88,186565.25,110234.03999999998,96546.72,102043.97,123678.29,23213.73,17404.61,3319884.7399999998
NO 25/11-G-39 BY1,NO 25/11-G-39 BY,2007-12-08,2017-06-22,0.0,0.0,1444446.0,1242861.0,560747.0,423249.01,143129.84999999998,31797.05,24428.260000000002,608.13,61.67,16.7,0.0,0.0,0.0,0.0,0.0,3871344.6700000004
NO 25/11-G-39 CY1,NO 25/11-G-39 CY,2018-04-01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27285.049999999996,119339.77,535779.2,245321.99000000002,422139.43999999994,1349865.45
NO 25/11-G-40 AT3,NO 25/11-G-40 A,2005-09-15,2017-01-20,0.0,1003082.0,135566.0,41827.0,11579.0,17088.73,2378.63,162.53,353.93,394.52000000000004,14.629999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1212446.97
NO 25/11-G-40 BY1,NO 25/11-G-40 BY,2017-04-17,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14358.3,61161.28999999999,43965.51,16366.550000000001,17738.5,2964.5800000000004,1297.71,157852.44
