PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-28,NO 25/11-G-28,2003-12-22,2020-02-21,369740.0,1626036.0,994241.0,648253.0,321951.0,119760.52159562927,62742.964446001584,31909.79756606524,22011.050785954754,19793.429999999997,22589.15,154.17000000000002,52.75,0.06,81126.23,26414.069999999996,19372.649999999998,4366147.84439365
NO 25/11-G-29 Y2,NO 25/11-G-29 Y,2017-06-24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143147.30000000002,407716.98,156296.32999999996,188783.29,77346.44,115737.3,1089027.64
NO 25/11-G-30 AY1,NO 25/11-G-30 AY,2017-12-16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287420.5,179941.6,207596.06,84722.96,111524.18000000001,871205.3
NO 25/11-G-30 Y1,NO 25/11-G-30 Y,2007-03-20,2017-06-04,0.0,356756.0,820703.0,315443.0,202370.0,100976.80968798368,50452.89428433229,25777.995300367544,36448.54942672042,23839.64,36602.63,120.92,0.0,0.0,0.0,0.0,0.0,1969491.4386994038
NO 25/11-G-31 BY1T3,NO 25/11-G-31 BY,2016-09-28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317489.59,119682.97,154831.69,59316.32,91862.28999999998,39389.380000000005,47059.259999999995,829631.5
NO 25/11-G-34,NO 25/11-G-34,2005-07-30,2016-02-25,0.0,1101212.0,357556.0,206901.0,122612.0,15549.825254696227,9290.597882736123,7.518824123200001,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1813132.0619615554
NO 25/11-G-34 AY1,NO 25/11-G-34 AY,2019-02-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137168.28,200858.96999999997,273221.25,611248.5
NO 25/11-G-35 AT2,NO 25/11-G-35 A,2006-05-01,2014-12-27,0.0,862438.0,1713619.0,950031.0,331273.0,13.977038268794,0.47892305310000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857375.455961322
NO 25/11-G-35 BY1,NO 25/11-G-35 BY,2018-11-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341708.44999999995,101798.59,135447.82,578954.86
NO 25/11-G-38 AY1,NO 25/11-G-38 AY,2011-06-28,2020-02-09,0.0,0.0,0.0,9652.0,1098060.0,496874.1093660875,243945.56559429437,106066.06604902369,188649.48746044107,97431.88,183306.62,95412.99,78940.42000000001,98727.56,120753.88,34467.78999999999,25649.620000000003,2877937.9884698465
NO 25/11-G-39 BY1,NO 25/11-G-39 BY,2007-12-08,2017-06-22,0.0,0.0,632205.0,767298.0,718610.0,401565.413801295,128116.03856460714,44710.34791138714,72171.84663157465,16488.53,1245.6200000000001,362.31,0.0,0.0,0.0,0.0,0.0,2782773.106908864
NO 25/11-G-39 CY1,NO 25/11-G-39 CY,2018-03-31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6554.08,26999.190000000002,137285.23,79831.12999999999,150711.69,401381.31999999995
NO 25/11-G-40 AT3,NO 25/11-G-40 A,2005-09-15,2017-01-20,0.0,1452070.0,761876.0,436695.0,312017.0,127496.3035334557,54846.03887560788,20465.379980679565,17943.581644978716,19838.910000000003,14379.730000000001,0.0,0.0,0.0,0.0,0.0,0.0,3217627.9440347217
NO 25/11-G-40 BY1,NO 25/11-G-40 BY,2017-04-17,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9536.01,68113.91999999998,59037.20999999999,30861.249999999993,39289.53,12451.049999999997,19912.96,239201.93
