PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-27 A,NO 25/11-G-27 A,2003-10-04,2017-05-26,52243073.0,67899977.0,71934963.0,94778213.0,62715560.0,35537901.91628261,28191299.68,13119314.86,7704047.19,5372731.989999999,5182500.49,59.73,0.0,0.0,0.0,0.0,0.0,444679641.8562826
NO 25/11-G-28,NO 25/11-G-28,2003-12-22,2020-02-21,5306986.0,56357817.0,84852898.0,166112355.0,154858938.0,64767862.092995845,48316644.160000004,37519376.40999999,15556462.98,17608750.16,26194797.43,106560.17,19281.559999999998,481.84,40064770.45,18197067.650000002,19257880.21,755098929.1129959
NO 25/11-G-29 Y2,NO 25/11-G-29 Y,2017-06-24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6128413.670000001,120242430.03,47514915.04,98102147.80000001,23129537.509999998,80014099.26,375131543.30999994
NO 25/11-G-30 AY1,NO 25/11-G-30 AY,2017-12-17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26262283.35,55204023.18000001,101767065.62,50252104.690000005,55401686.44,288887163.28000003
NO 25/11-G-30 Y1,NO 25/11-G-30 Y,2007-03-18,2017-06-04,0.0,10567530.0,106747150.0,97743996.0,114693834.0,52192568.17844079,43306888.71000001,25106306.040000003,23784242.020000003,17078538.330000002,34442641.47,281087.45,0.0,0.0,0.0,0.0,0.0,525944782.1984408
NO 25/11-G-31 BY1T3,NO 25/11-G-31 BY,2016-09-28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94868678.15,85882259.8,114117163.84,30290756.919999998,55856814.54,29146718.01,30413340.93,440575732.19
NO 25/11-G-34,NO 25/11-G-34,2005-07-30,2016-02-25,0.0,32742657.0,74973797.0,27959823.0,7036289.0,8394641.781331109,7652090.800000001,14380.42,192.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158773871.1013311
NO 25/11-G-34 AY1,NO 25/11-G-34 AY,2019-02-07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8320083.9799999995,42881081.79,145847508.5,197048674.26999998
NO 25/11-G-35 AT2,NO 25/11-G-35 A,2006-05-01,2014-12-27,0.0,13980288.0,178435568.0,265743110.0,154957743.0,2572.5800000000004,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613119329.6800001
NO 25/11-G-35 BY1,NO 25/11-G-35 BY,2018-11-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43709212.86,35096471.449999996,88451413.99000001,167257098.3
NO 25/11-G-38 AY1,NO 25/11-G-38 AY,2011-06-28,2020-02-09,0.0,0.0,0.0,167932.0,21434831.0,48298927.785903305,70259307.34,49474330.50000001,82805712.32,42302512.07,116039886.63999999,74149129.41,61157494.09,38192461.86,87109031.83,35567349.15,22546766.81,749505672.8059033
NO 25/11-G-39 BY1,NO 25/11-G-39 BY,2007-12-08,2017-06-22,0.0,0.0,9594394.0,11604186.0,12525163.0,50344619.966758505,83058644.91999999,32638307.000000004,57340171.71,16850869.16,1373090.14,23570.55,0.0,0.0,0.0,0.0,0.0,275353016.4467585
NO 25/11-G-39 CY1,NO 25/11-G-39 CY,2018-03-31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158139.21999999997,416334.17999999993,2141161.0,1230790.2399999998,2223987.9099999997,6170412.55
NO 25/11-G-40 AT3,NO 25/11-G-40 A,2005-09-15,2017-01-20,0.0,38551921.0,85293288.0,111468534.0,135169272.0,67646063.2227026,47944537.86,20976431.1,18025251.939999998,24229947.309999995,16810469.880000003,0.0,0.0,0.0,0.0,0.0,0.0,566115716.3127025
NO 25/11-G-40 BY1,NO 25/11-G-40 BY,2017-04-18,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163446.01,24193825.580000002,40836579.54000001,22145439.200000007,31211253.35,17348055.2,16112510.469999999,152011109.35000002
